LevelID,levelType,CorrectTarget,correctStandardContent,incorrectTarget,incorrectTargetStandardContent
1,match,a,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA,c|t,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA
2,match,c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA,a|t,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA
3,match,a,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA,c|t,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA
4,match,c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA,a|t,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA
5,match,t,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA,a|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
6,match,p,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA,c|t|m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA
7,match,c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA,p|t|m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA
8,match,t,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA,p|c|m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA
9,match,m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA,p|c|t,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA
10,match,c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA,p|t|m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA
